Genre,Mood,Language,Age
folk,relaxed,marathi,adults
rock,focused,marathi,adults
folk,sad,tamil,adults
folk,sad,punjabi,adults
fusion,energetic,malayalam,adults
party,energetic,marathi,all ages
chill,energetic,punjabi,all ages
fusion,romantic,tamil,adults
rock,focused,kannada,adults
party,romantic,telugu,adults
rock,motivated,hindi,adults
folk,motivated,kannada,adults
classical,relaxed,bengali,adults
devotional,romantic,hindi,adults
folk,happy,malayalam,all ages
chill,romantic,punjabi,adults
folk,relaxed,malayalam,adults
pop,focused,marathi,adults
rock,sad,bengali,adults
hip-hop,motivated,telugu,adults
classical,relaxed,telugu,all ages
folk,motivated,tamil,all ages
folk,focused,telugu,adults
party,sad,kannada,adults
pop,romantic,tamil,adults
hip-hop,focused,hindi,adults
devotional,relaxed,marathi,adults
classical,focused,tamil,adults
hip-hop,motivated,kannada,adults
chill,happy,marathi,adults
devotional,energetic,tamil,adults
pop,sad,tamil,adults
chill,calm,punjabi,adults
fusion,motivated,hindi,adults
chill,sad,hindi,adults
fusion,motivated,malayalam,adults
hip-hop,calm,malayalam,adults
chill,motivated,telugu,adults
fusion,sad,bengali,adults
pop,relaxed,kannada,adults
party,sad,marathi,adults
fusion,happy,hindi,adults
classical,motivated,hindi,adults
pop,energetic,gujarati,all ages
devotional,motivated,kannada,adults
hip-hop,energetic,telugu,teens and adults
pop,energetic,malayalam,all ages
chill,calm,malayalam,adults
rock,romantic,punjabi,adults
hip-hop,relaxed,bengali,adults
devotional,focused,bengali,adults
hip-hop,happy,gujarati,all ages
pop,motivated,kannada,adults
rock,happy,tamil,all ages
hip-hop,energetic,gujarati,adults
hip-hop,calm,kannada,adults
pop,sad,malayalam,adults
chill,calm,marathi,adults
devotional,sad,telugu,adults
party,motivated,telugu,adults
rock,focused,bengali,adults
fusion,sad,hindi,adults
chill,focused,telugu,adults
chill,sad,marathi,adults
chill,happy,hindi,teens and adults
devotional,romantic,tamil,adults
fusion,relaxed,gujarati,adults
classical,sad,gujarati,adults
pop,calm,malayalam,adults
folk,energetic,kannada,all ages
fusion,calm,punjabi,adults
bollywood,calm,marathi,all ages
fusion,romantic,marathi,adults
folk,calm,malayalam,adults
devotional,romantic,bengali,adults
chill,relaxed,punjabi,all ages
chill,calm,tamil,adults
classical,energetic,marathi,adults
fusion,focused,bengali,adults
pop,calm,kannada,adults
devotional,happy,gujarati,adults
party,romantic,hindi,adults
fusion,relaxed,telugu,adults
devotional,relaxed,punjabi,all ages
folk,focused,malayalam,adults
hip-hop,romantic,bengali,adults
hip-hop,motivated,hindi,adults
devotional,calm,gujarati,adults
pop,sad,hindi,adults
bollywood,happy,bengali,all ages
devotional,focused,telugu,adults
fusion,motivated,kannada,adults
classical,calm,telugu,all ages
devotional,happy,kannada,all ages
hip-hop,relaxed,hindi,adults
fusion,happy,gujarati,adults
bollywood,motivated,tamil,teens and adults
bollywood,calm,kannada,all ages
folk,focused,punjabi,adults
classical,focused,malayalam,adults
bollywood,calm,hindi,all ages
devotional,relaxed,telugu,adults
pop,energetic,bengali,all ages
party,focused,tamil,adults
hip-hop,energetic,marathi,all ages
rock,happy,marathi,all ages
hip-hop,focused,telugu,adults
hip-hop,romantic,telugu,adults
devotional,energetic,gujarati,adults
fusion,happy,tamil,teens and adults
folk,happy,tamil,all ages
bollywood,relaxed,marathi,all ages
party,motivated,tamil,teens and adults
classical,focused,hindi,adults
chill,motivated,gujarati,adults
fusion,energetic,gujarati,adults
bollywood,focused,punjabi,adults
bollywood,sad,kannada,adults
folk,energetic,tamil,all ages
bollywood,romantic,bengali,teens and adults
party,focused,kannada,adults
hip-hop,calm,hindi,adults
folk,motivated,gujarati,all ages
pop,happy,marathi,all ages
bollywood,motivated,malayalam,teens and adults
rock,relaxed,telugu,adults
rock,sad,gujarati,adults
pop,romantic,malayalam,adults
party,romantic,punjabi,adults
party,calm,bengali,adults
chill,focused,gujarati,adults
pop,relaxed,malayalam,adults
folk,focused,tamil,adults
folk,energetic,malayalam,all ages
fusion,relaxed,kannada,adults
hip-hop,motivated,bengali,adults
party,motivated,malayalam,adults
classical,romantic,tamil,adults
fusion,focused,gujarati,adults
hip-hop,romantic,punjabi,adults
bollywood,happy,punjabi,all ages
chill,energetic,gujarati,adults
fusion,focused,tamil,adults
classical,sad,hindi,adults
folk,focused,gujarati,adults
bollywood,calm,malayalam,all ages
fusion,sad,telugu,adults
party,happy,telugu,adults
party,calm,telugu,adults
hip-hop,sad,kannada,adults
classical,energetic,bengali,adults
rock,relaxed,kannada,adults
fusion,focused,kannada,adults
rock,focused,tamil,adults
pop,calm,gujarati,adults
bollywood,sad,bengali,adults
rock,calm,marathi,adults
devotional,calm,kannada,adults
hip-hop,calm,marathi,adults
pop,focused,tamil,adults
folk,calm,telugu,adults
chill,focused,tamil,adults
chill,happy,gujarati,adults
party,relaxed,gujarati,adults
chill,relaxed,hindi,adults
fusion,happy,marathi,all ages
pop,calm,marathi,adults
fusion,focused,malayalam,adults
fusion,focused,telugu,adults
folk,motivated,marathi,all ages
party,motivated,gujarati,adults
fusion,sad,kannada,adults
bollywood,relaxed,bengali,all ages
party,motivated,kannada,adults
fusion,focused,punjabi,adults
pop,romantic,marathi,adults
bollywood,energetic,telugu,teens and adults
rock,calm,gujarati,adults
party,calm,marathi,adults
folk,energetic,gujarati,all ages
pop,focused,kannada,adults
folk,relaxed,punjabi,adults
hip-hop,calm,gujarati,adults
hip-hop,relaxed,malayalam,adults
party,focused,bengali,adults
rock,focused,hindi,adults
rock,calm,punjabi,adults
chill,energetic,telugu,adults
classical,focused,telugu,adults
chill,energetic,kannada,adults
classical,calm,bengali,adults
hip-hop,energetic,tamil,all ages
classical,sad,marathi,adults
party,calm,malayalam,adults
rock,motivated,kannada,adults
pop,happy,gujarati,all ages
party,romantic,gujarati,adults
classical,relaxed,tamil,adults
devotional,motivated,punjabi,all ages
bollywood,energetic,tamil,teens and adults
chill,relaxed,gujarati,adults
bollywood,focused,marathi,adults
classical,romantic,telugu,adults
pop,relaxed,marathi,adults
party,sad,tamil,adults
classical,calm,malayalam,adults
